data_point,s1,s2,s3,datetime,"c(1, 2)","c(1, 3)","c(2, 3)"
40,1.389418342,1.921060994,0.97259284,2025-01-01 06:40:00,-0.99804399349847,0.9999999999999999,-0.9980439936542945
41,1.398609328,1.917120823,0.97902653,2025-01-01 06:50:00,-0.9981400380095667,0.9999999999999999,-0.998140038278376
42,1.407760453,1.91308894,0.985432317,2025-01-01 07:00:00,-0.9982278049553787,1.0,-0.9982278050526143
43,1.416870802,1.90896575,0.991809562,2025-01-01 07:10:00,-0.9983081903039491,0.9999999999999999,-0.9983081905966861
44,1.425939465,1.904751663,0.998157626,2025-01-01 07:20:00,-0.9983819695903052,0.9999999999999998,-0.9983819697660068
45,1.434965534,1.900447102,1.004475874,2025-01-01 07:30:00,-0.9984498193714239,0.9999999999999998,-0.9984498194334128
46,1.443948107,1.896052498,1.010763675,2025-01-01 07:40:00,-0.9985123301773259,1.0,-0.9985123298713787
47,1.452886285,1.891568288,1.0170204,2025-01-01 07:50:00,-0.9985700184581796,1.0,-0.9985700183450358
48,1.461779176,1.886994923,1.023245423,2025-01-01 08:00:00,-0.9986233399227414,0.9999999999999998,-0.9986233395340415
49,1.470625888,1.882332859,1.029438122,2025-01-01 08:10:00,-0.9986726954985385,1.0,-0.9986726952723968
50,1.479425539,1.877582562,1.035597877,2025-01-01 08:20:00,-0.9987184406073314,0.9999999999999998,-0.9987184402700879
51,1.488177247,1.872744508,1.041724073,2025-01-01 08:30:00,-0.9987608899821019,0.9999999999999999,-0.9987608897633714
52,1.496880138,1.86781918,1.047816096,2025-01-01 08:40:00,-0.9988003236920033,1.0,-0.9988003235837568
53,1.505533341,1.862807071,1.053873339,2025-01-01 08:50:00,-0.9988369916579342,0.9999999999999999,-0.998836991656054
54,1.514135992,1.857708681,1.059895194,2025-01-01 09:00:00,-0.99887111691905,0.9999999999999998,-0.9988711168698774
55,1.522687229,1.852524522,1.06588106,2025-01-01 09:10:00,-0.9989028996821829,1.0,-0.9989028995956224
56,1.531186198,1.847255111,1.071830339,2025-01-01 09:20:00,-0.9989325189972629,0.9999999999999999,-0.9989325190713819
57,1.539632049,1.841900975,1.077742434,2025-01-01 09:30:00,-0.9989601363735554,1.0,-0.9989601365470046
58,1.548023937,1.83646265,1.083616756,2025-01-01 09:40:00,-0.998985896741016,0.9999999999999999,-0.9989858969352486
59,1.556361023,1.830940679,1.089452716,2025-01-01 09:50:00,-0.9990099311744448,1.0,-0.9990099313136755
60,1.564642473,1.825335615,1.095249731,2025-01-01 10:00:00,-0.9990323580056023,1.0,-0.9990323581402318
61,1.57286746,1.819648018,1.101007222,2025-01-01 10:10:00,-0.9990532839502153,1.0,-0.9990532841159574
62,1.581035161,1.813878457,1.106724612,2025-01-01 10:20:00,-0.9990728064931533,1.0,-0.9990728064082384
63,1.589144758,1.808027508,1.112401331,2025-01-01 10:30:00,-0.9990910125402793,1.0,-0.9990910126404913
64,1.597195441,1.802095758,1.118036809,2025-01-01 10:40:00,-0.9991079823924619,0.9999999999999996,-0.9991079824414711
65,1.605186406,1.796083799,1.123630484,2025-01-01 10:50:00,-0.9991237883993113,0.9999999999999998,-0.9991237884190262
66,1.613116852,1.789992231,1.129181796,2025-01-01 11:00:00,-0.9991384957682985,1.0,-0.999138495633872
67,1.620985987,1.783821666,1.134690191,2025-01-01 11:10:00,-0.9991521646305993,0.9999999999999998,-0.9991521646615332
68,1.628793024,1.777572719,1.140155117,2025-01-01 11:20:00,-0.9991648490379076,1.0,-0.9991648490238105
69,1.636537182,1.771246015,1.145576028,2025-01-01 11:30:00,-0.9991765981913704,0.9999999999999998,-0.9991765983591733
70,1.644217687,1.764842187,1.150952381,2025-01-01 11:40:00,-0.9991874566490114,1.0,-0.9991874568470811
71,1.651833771,1.758361876,1.15628364,2025-01-01 11:50:00,-0.9991974650370309,0.9999999999999998,-0.9991974651227306
72,1.659384672,1.751805729,1.16156927,2025-01-01 12:00:00,-0.9992066598233161,0.9999999999999996,-0.9992066597965507
73,1.666869635,1.745174402,1.166808745,2025-01-01 12:10:00,-0.999215073991672,1.0,-0.9992150739893064
74,1.674287912,1.738468559,1.172001538,2025-01-01 12:20:00,-0.9992227376427618,1.0,-0.9992227374876971
75,1.68163876,1.731688869,1.177147132,2025-01-01 12:30:00,-0.9992296771653305,0.9999999999999996,-0.9992296769934175
76,1.688921445,1.724836011,1.182245012,2025-01-01 12:40:00,-0.9992359164452214,1.0,-0.9992359163450882
77,1.696135239,1.71791067,1.187294667,2025-01-01 12:50:00,-0.9992414766312986,0.9999999999999999,-0.9992414766106149
78,1.703279419,1.710913538,1.192295593,2025-01-01 13:00:00,-0.9992463764667112,0.9999999999999999,-0.9992463763101618
79,1.710353272,1.703845316,1.197247291,2025-01-01 13:10:00,-0.9992506322960952,0.9999999999999999,-0.9992506322206591
80,1.717356091,1.696706709,1.202149264,2025-01-01 13:20:00,-0.9992542578576454,1.0,-0.9992542578743642
81,1.724287174,1.689498433,1.207001022,2025-01-01 13:30:00,-0.9992572654685709,0.9999999999999999,-0.9992572656282446
82,1.73114583,1.682221207,1.211802081,2025-01-01 13:40:00,-0.9992596646145302,1.0,-0.9992596647683147
83,1.737931371,1.67487576,1.21655196,2025-01-01 13:50:00,-0.999261463010749,1.0,-0.9992614632084624
84,1.74464312,1.667462826,1.221250184,2025-01-01 14:00:00,-0.9992626666527471,0.9999999999999997,-0.9992626666772995
85,1.751280405,1.659983146,1.225896284,2025-01-01 14:10:00,-0.9992632792856437,0.9999999999999999,-0.9992632793609961
86,1.757842563,1.652437468,1.230489794,2025-01-01 14:20:00,-0.9992633027541282,0.9999999999999996,-0.9992633026429993
87,1.764328937,1.644826547,1.235030256,2025-01-01 14:30:00,-0.999262737209744,0.9999999999999999,-0.9992627371815044
88,1.770738879,1.637151144,1.239517215,2025-01-01 14:40:00,-0.9992615809522085,1.0,-0.9992615806802131
89,1.777071748,1.629412027,1.243950223,2025-01-01 14:50:00,-0.999259830127455,0.9999999999999999,-0.9992598298324721
90,1.78332691,1.621609968,1.248328837,2025-01-01 15:00:00,-0.9992574790431981,1.0,-0.999257478856953
91,1.78950374,1.613745749,1.252652618,2025-01-01 15:10:00,-0.9992545201559748,0.9999999999999999,-0.9992545199232944
92,1.79560162,1.605820157,1.256921134,2025-01-01 15:20:00,-0.9992509438483408,1.0,-0.999250943794527
93,1.801619941,1.597833982,1.261133959,2025-01-01 15:30:00,-0.9992467385971859,1.0,-0.9992467388469908
94,1.8075581,1.589788025,1.26529067,2025-01-01 15:40:00,-0.9992418904364138,1.0,-0.9992418906225123
95,1.813415505,1.581683089,1.269390853,2025-01-01 15:50:00,-0.9992363834286198,0.9999999999999998,-0.9992363834706482
96,1.819191568,1.573519986,1.273434098,2025-01-01 16:00:00,-0.9992301990204546,0.9999999999999998,-0.9992301992053435
97,1.824885713,1.565299531,1.277419999,2025-01-01 16:10:00,-0.9992233161490071,1.0,-0.999223316352107
98,1.83049737,1.557022547,1.281348159,2025-01-01 16:20:00,-0.9992157113406842,0.9999999999999998,-0.999215711487534
99,1.836025979,1.548689861,1.285218185,2025-01-01 16:30:00,-0.999207358150545,1.0,-0.9992073582304278
100,1.841470985,1.540302306,1.289029689,2025-01-01 16:40:00,-0.9991982268201343,1.0,-0.9991982266066788
101,1.846831845,1.531860721,1.292782291,2025-01-01 16:50:00,-0.9991882846069301,0.9999999999999997,-0.9991882843029021
102,1.852108022,1.523365951,1.296475615,2025-01-01 17:00:00,-0.9991774952583476,0.9999999999999998,-0.9991774948528592
103,1.857298989,1.514818845,1.300109292,2025-01-01 17:10:00,-0.9991658186204089,0.9999999999999997,-0.9991658183025949
104,1.862404227,1.506220257,1.303682959,2025-01-01 17:20:00,-0.9991532101537385,0.9999999999999998,-0.9991532102152428
105,1.867423226,1.497571048,1.307196258,2025-01-01 17:30:00,-0.9991396216230563,1.0,-0.9991396217627622
106,1.872355482,1.488872082,1.310648838,2025-01-01 17:40:00,-0.9991249987745879,1.0,-0.9991249992384638
107,1.877200504,1.480124229,1.314040353,2025-01-01 17:50:00,-0.999109282511491,0.9999999999999996,-0.9991092830634214
108,1.881957807,1.471328364,1.317370465,2025-01-01 18:00:00,-0.9990924078695705,0.9999999999999998,-0.9990924082817054
109,1.886626914,1.462485367,1.32063884,2025-01-01 18:10:00,-0.9990743029495571,1.0,-0.9990743032984643
110,1.89120736,1.453596121,1.323845152,2025-01-01 18:20:00,-0.9990548886460724,1.0,-0.9990548890464399
111,1.895698686,1.444661517,1.32698908,2025-01-01 18:30:00,-0.9990340781552777,1.0,-0.9990340781474536
112,1.900100442,1.435682446,1.33007031,2025-01-01 18:40:00,-0.999011774845248,0.9999999999999998,-0.9990117748995698
113,1.904412189,1.426659808,1.333088533,2025-01-01 18:50:00,-0.9989878728105958,0.9999999999999998,-0.9989878728078284
114,1.908633496,1.417594504,1.336043447,2025-01-01 19:00:00,-0.9989622544130704,0.9999999999999999,-0.998962254031843
115,1.91276394,1.408487441,1.338934758,2025-01-01 19:10:00,-0.9989347900042393,1.0,-0.9989347895189702
116,1.916803109,1.399339529,1.341762176,2025-01-01 19:20:00,-0.9989053356295192,0.9999999999999999,-0.9989053350253554
117,1.920750598,1.390151684,1.344525418,2025-01-01 19:30:00,-0.9988737314323424,1.0,-0.9988737306998257
118,1.924606012,1.380924824,1.347224209,2025-01-01 19:40:00,-0.9988397993162819,0.9999999999999996,-0.9988397991596718
119,1.928368967,1.371659872,1.349858277,2025-01-01 19:50:00,-0.9988033415903302,1.0,-0.9988033415334435
120,1.932039086,1.362357754,1.35242736,2025-01-01 20:00:00,-0.9987641365760415,0.9999999999999993,-0.9987641366881846
121,1.935616002,1.353019401,1.354931201,2025-01-01 20:10:00,-0.9987219374544649,0.9999999999999999,-0.9987219372287084
122,1.939099356,1.343645746,1.357369549,2025-01-01 20:20:00,-0.998676465897178,0.9999999999999996,-0.9986764656785106
123,1.942488802,1.334237727,1.359742161,2025-01-01 20:30:00,-0.9986274102973651,0.9999999999999994,-0.9986274100613343
124,1.945783999,1.324796284,1.3620488,2025-01-01 20:40:00,-0.9985744188233455,0.9999999999999994,-0.9985744191908544
125,1.948984619,1.315322362,1.364289234,2025-01-01 20:50:00,-0.9985170942315791,0.9999999999999991,-0.9985170951740905
126,1.952090342,1.305816908,1.366463239,2025-01-01 21:00:00,-0.9984549860021273,0.9999999999999992,-0.9984549868821899
127,1.955100856,1.296280873,1.368570599,2025-01-01 21:10:00,-0.9983875823493796,0.9999999999999992,-0.9983875827792495
128,1.95801586,1.28671521,1.370611102,2025-01-01 21:20:00,-0.9983142985840737,0.9999999999999993,-0.9983142984304318
129,1.960835064,1.277120875,1.372584545,2025-01-01 21:30:00,-0.9982344664454107,0.9999999999999992,-0.9982344664232364
130,1.963558185,1.267498829,1.37449073,2025-01-01 21:40:00,-0.9981473183639512,0.9999999999999996,-0.9981473184856173
131,1.966184952,1.257850033,1.376329466,2025-01-01 21:50:00,-0.9980519692860613,0.9999999999999991,-0.9980519689838265
132,1.9687151,1.248175452,1.37810057,2025-01-01 22:00:00,-0.9979473933396432,0.9999999999999991,-0.9979473935411832
133,1.971148378,1.238476053,1.379803865,2025-01-01 22:10:00,-0.9978323996801356,0.9999999999999991,-0.9978323996063946
134,1.973484542,1.228752808,1.381439179,2025-01-01 22:20:00,-0.997705595798917,0.9999999999999991,-0.9977055948733629
135,1.975723358,1.219006687,1.38300635,2025-01-01 22:30:00,-0.997565346532986,0.9999999999999989,-0.9975653450002007
136,1.977864602,1.209238666,1.384505222,2025-01-01 22:40:00,-0.997409722251637,0.9999999999999986,-0.9974097220320302
137,1.979908061,1.199449721,1.385935643,2025-01-01 22:50:00,-0.9972364352984928,0.9999999999999988,-0.9972364358229818
138,1.98185353,1.189640831,1.387297471,2025-01-01 23:00:00,-0.9970427512730278,0.9999999999999987,-0.9970427526227833
139,1.983700815,1.179812978,1.38859057,2025-01-01 23:10:00,-0.9968253873647616,0.9999999999999984,-0.9968253873339168
140,1.98544973,1.169967143,1.389814811,2025-01-01 23:20:00,-0.9965803673676751,0.9999999999999984,-0.9965803663740505
141,1.987100101,1.160104312,1.390970071,2025-01-01 23:30:00,-0.9963028450533297,0.9999999999999986,-0.9963028452052102
142,1.988651763,1.15022547,1.392056234,2025-01-01 23:40:00,-0.9959868652014661,0.9999999999999988,-0.9959868656265608
143,1.99010456,1.140331606,1.393073192,2025-01-01 23:50:00,-0.9956250435752724,0.9999999999999984,-0.9956250443081107
144,1.991458348,1.130423709,1.394020844,2025-01-02 00:00:00,-0.9952081361754916,0.9999999999999981,-0.995208137612938
145,1.992712991,1.120502769,1.394899094,2025-01-02 00:10:00,-0.9947244485525163,0.9999999999999981,-0.9947244491328576
146,1.993868363,1.11056978,1.395707854,2025-01-02 00:20:00,-0.9941590136968174,0.999999999999998,-0.9941590142976885
147,1.99492435,1.100625733,1.396447045,2025-01-02 00:30:00,-0.993492443085675,0.9999999999999976,-0.9934924432640106
148,1.995880845,1.090671624,1.397116591,2025-01-02 00:40:00,-0.9926992506008553,0.9999999999999974,-0.992699247062115
149,1.996737752,1.080708448,1.397716426,2025-01-02 00:50:00,-0.9917454179134925,0.9999999999999971,-0.9917454139097341
150,1.997494987,1.070737202,1.398246491,2025-01-02 01:00:00,-0.9905847504266084,0.9999999999999977,-0.9905847504737487
151,1.998152472,1.060758881,1.398706731,2025-01-02 01:10:00,-0.9891532578533678,0.999999999999997,-0.989153259651708
152,1.998710144,1.050774485,1.399097101,2025-01-02 01:20:00,-0.987360332344073,0.9999999999999964,-0.9873603333721943
153,1.999167945,1.040785011,1.399417562,2025-01-02 01:30:00,-0.9850743585999716,0.9999999999999956,-0.9850743617836674
154,1.999525831,1.030791459,1.399668081,2025-01-02 01:40:00,-0.9820985186752818,0.9999999999999939,-0.9820985179748682
155,1.999783764,1.020794828,1.399848635,2025-01-02 01:50:00,-0.9781283254083174,0.9999999999999918,-0.9781283280939873
156,1.99994172,1.010796117,1.399959204,2025-01-02 02:00:00,-0.9726736471485584,0.9999999999999901,-0.9726736475393125
157,1.999999683,1.000796327,1.399999778,2025-01-02 02:10:00,-0.9649074853675629,0.9999999999999873,-0.9649074859134094
158,1.999957646,0.990796457,1.399970353,2025-01-02 02:20:00,-0.9533537798427797,0.9999999999999782,-0.9533538014531738
159,1.999815615,0.980797507,1.399870931,2025-01-02 02:30:00,-0.9351945143267923,0.9999999999999708,-0.9351945442317904
160,1.999573603,0.970800478,1.399701522,2025-01-02 02:40:00,-0.9046027843533793,0.9999999999999606,-0.9046027938434584
161,1.999231634,0.960806368,1.399462144,2025-01-02 02:50:00,-0.8484109423528212,0.9999999999999402,-0.8484109533624925
162,1.998789743,0.950816178,1.39915282,2025-01-02 03:00:00,-0.7346072828069908,0.9999999999999051,-0.7346072612931376
163,1.998247974,0.940830906,1.398773582,2025-01-02 03:10:00,-0.49006266515149105,0.9999999999998468,-0.49006267262150505
164,1.997606381,0.930851551,1.398324467,2025-01-02 03:20:00,-0.041434784990618784,0.9999999999998215,-0.04143477460164882
165,1.996865028,0.920879111,1.39780552,2025-01-02 03:30:00,0.43220025684931107,0.9999999999998572,0.432200298629651
166,1.99602399,0.910914583,1.397216793,2025-01-02 03:40:00,0.7070468866557803,0.999999999999915,0.7070468539558605
167,1.99508335,0.900958963,1.396558345,2025-01-02 03:50:00,0.8354146588033964,0.9999999999999483,0.835414623851081
168,1.994043202,0.891013248,1.395830242,2025-01-02 04:00:00,0.897880828862476,0.9999999999999667,0.8978807853395956
169,1.992903651,0.881078431,1.395032556,2025-01-02 04:10:00,0.9313736070662295,0.9999999999999865,0.931373609481884
170,1.99166481,0.871155506,1.394165367,2025-01-02 04:20:00,0.9510059315970095,0.9999999999999896,0.9510059286297119
171,1.990326804,0.861245465,1.393228763,2025-01-02 04:30:00,0.963372696070743,0.9999999999999925,0.9633726985319221
172,1.988889766,0.8513493,1.392222836,2025-01-02 04:40:00,0.9716197087362268,0.9999999999999946,0.9716197139440127
173,1.98735384,0.841467999,1.391147688,2025-01-02 04:50:00,0.9773752863199708,0.9999999999999968,0.9773752833918112
174,1.985719179,0.831602552,1.390003425,2025-01-02 05:00:00,0.9815427059554703,0.9999999999999972,0.9815426978503459
175,1.983985947,0.821753944,1.388790163,2025-01-02 05:10:00,0.9846529036506295,0.999999999999998,0.9846529004187279
176,1.982154317,0.811923161,1.387508022,2025-01-02 05:20:00,0.9870334185499432,0.9999999999999982,0.9870334167583504
177,1.980224473,0.802111185,1.386157131,2025-01-02 05:30:00,0.9888947285299121,0.9999999999999991,0.9888947290703631
178,1.978196607,0.792318998,1.384737625,2025-01-02 05:40:00,0.9903768648218904,0.999999999999999,0.9903768666293176
179,1.976070922,0.782547579,1.383249645,2025-01-02 05:50:00,0.9915758186815598,0.9999999999999989,0.9915758191753775
180,1.973847631,0.772797905,1.381693342,2025-01-02 06:00:00,0.9925591188435546,0.9999999999999986,0.9925591200072108
181,1.971526956,0.763070951,1.380068869,2025-01-02 06:10:00,0.9933753547864409,0.999999999999999,0.9933753562000178
182,1.969109129,0.75336769,1.37837639,2025-01-02 06:20:00,0.9940601986193952,0.9999999999999992,0.9940602003110934
183,1.966594392,0.743689092,1.376616074,2025-01-02 06:30:00,0.9946403070884102,0.9999999999999994,0.9946403070334868
184,1.963982996,0.734036124,1.374788097,2025-01-02 06:40:00,0.9951359138396215,0.9999999999999996,0.9951359133522805
185,1.961275203,0.724409753,1.372892642,2025-01-02 06:50:00,0.995562601827507,0.9999999999999993,0.995562601763619
186,1.958471283,0.714810941,1.370929898,2025-01-02 07:00:00,0.9959325224348783,0.9999999999999999,0.9959325221281531
187,1.955571517,0.705240647,1.368900062,2025-01-02 07:10:00,0.996255266903976,0.9999999999999992,0.9962552673916699
188,1.952576194,0.695699829,1.366803336,2025-01-02 07:20:00,0.9965384822738035,0.9999999999999993,0.9965384830668325
189,1.949485615,0.686189441,1.36463993,2025-01-02 07:30:00,0.9967883297109474,0.9999999999999994,0.9967883302995176
190,1.946300088,0.676710433,1.362410061,2025-01-02 07:40:00,0.9970098133389956,0.9999999999999993,0.9970098132387283
191,1.943019931,0.667263754,1.360113952,2025-01-02 07:50:00,0.9972070326974037,0.9999999999999996,0.9972070330673184
192,1.939645474,0.657850349,1.357751832,2025-01-02 08:00:00,0.9973833722379754,0.9999999999999992,0.9973833729118421
193,1.936177052,0.648471158,1.355323937,2025-01-02 08:10:00,0.9975416447235175,0.9999999999999992,0.9975416455778494
194,1.932615014,0.63912712,1.35283051,2025-01-02 08:20:00,0.9976842049911975,0.9999999999999994,0.9976842059936688
195,1.928959715,0.629819169,1.350271801,2025-01-02 08:30:00,0.9978130340992493,0.9999999999999997,0.9978130345899904
196,1.925211521,0.620548235,1.347648065,2025-01-02 08:40:00,0.9979298099803278,0.9999999999999997,0.9979298101609104
197,1.921370806,0.611315247,1.344959564,2025-01-02 08:50:00,0.9980359600189946,0.9999999999999997,0.9980359596478835
198,1.917437955,0.602121126,1.342206569,2025-01-02 09:00:00,0.9981327060703186,0.9999999999999996,0.9981327060076223
199,1.913413361,0.592966793,1.339389353,2025-01-02 09:10:00,0.998221097669475,0.9999999999999997,0.9982210975585771
200,1.909297427,0.583853163,1.336508199,2025-01-02 09:20:00,0.9983020408593183,0.9999999999999992,0.9983020405182452
201,1.905090563,0.574781148,1.333563394,2025-01-02 09:30:00,0.9983763203636244,0.9999999999999999,0.9983763197726198
202,1.900793192,0.565751654,1.330555234,2025-01-02 09:40:00,0.9984446198281588,0.9999999999999996,0.9984446187842247
203,1.896405741,0.556765584,1.327484019,2025-01-02 09:50:00,0.9985075356161659,0.9999999999999997,0.9985075345960165
204,1.891928651,0.547823838,1.324350056,2025-01-02 10:00:00,0.9985655904417203,0.9999999999999999,0.9985655899603045
205,1.887362369,0.538927309,1.321153658,2025-01-02 10:10:00,0.9986192439314151,0.9999999999999999,0.9986192438548468
206,1.882707351,0.530076886,1.317895146,2025-01-02 10:20:00,0.9986689018033805,0.9999999999999998,0.9986689020014428
207,1.877964063,0.521273456,1.314574844,2025-01-02 10:30:00,0.9987149219757219,0.9999999999999996,0.9987149222524567
208,1.87313298,0.512517898,1.311193086,2025-01-02 10:40:00,0.998757623173101,0.9999999999999999,0.9987576233253906
209,1.868214583,0.503811087,1.307750208,2025-01-02 10:50:00,0.9987972874458529,0.9999999999999998,0.998797287632998
210,1.863209367,0.495153895,1.304246557,2025-01-02 11:00:00,0.9988341674872427,0.9999999999999999,0.9988341676077124
211,1.85811783,0.486547188,1.300682481,2025-01-02 11:10:00,0.9988684877237163,0.9999999999999999,0.9988684877727783
212,1.852940482,0.477991825,1.297058337,2025-01-02 11:20:00,0.9989004504282866,0.9999999999999997,0.9989004505235957
213,1.84767784,0.469488662,1.293374488,2025-01-02 11:30:00,0.9989302360416463,0.9999999999999999,0.9989302360387593
214,1.842330432,0.461038551,1.289631302,2025-01-02 11:40:00,0.9989580073423978,0.9999999999999998,0.9989580071206369
215,1.836898791,0.452642335,1.285829154,2025-01-02 11:50:00,0.9989839104155116,1.0,0.998983910354897
216,1.831383461,0.444300854,1.281968423,2025-01-02 12:00:00,0.9990080778831983,1.0,0.9990080780019883
217,1.825784993,0.436014942,1.278049495,2025-01-02 12:10:00,0.9990306284488107,0.9999999999999998,0.999030628725031
218,1.820103948,0.427785429,1.274072763,2025-01-02 12:20:00,0.9990516703543002,0.9999999999999996,0.9990516703372289
219,1.814340892,0.419613137,1.270038625,2025-01-02 12:30:00,0.9990713008511736,1.0,0.9990713009771832
220,1.808496404,0.411498883,1.265947483,2025-01-02 12:40:00,0.9990896088329837,0.9999999999999998,0.9990896091132643
221,1.802571066,0.403443478,1.261799746,2025-01-02 12:50:00,0.9991066743549606,0.9999999999999998,0.9991066743879757
222,1.796565472,0.395447729,1.257595831,2025-01-02 13:00:00,0.9991225704779049,1.0,0.9991225706800131
223,1.790480222,0.387512434,1.253336156,2025-01-02 13:10:00,0.9991373632568673,1.0,0.9991373635067526
224,1.784315925,0.379638388,1.249021148,2025-01-02 13:20:00,0.9991511130022708,0.9999999999999996,0.9991511132448776
225,1.778073197,0.371826377,1.244651238,2025-01-02 13:30:00,0.9991638740003056,1.0,0.9991638740081299
226,1.771752662,0.364077183,1.240226863,2025-01-02 13:40:00,0.9991756960243079,1.0,0.9991756957125828
227,1.765354953,0.356391581,1.235748467,2025-01-02 13:50:00,0.9991866239980256,0.9999999999999998,0.9991866237028265
228,1.758880708,0.348770339,1.231216496,2025-01-02 14:00:00,0.999196698583796,1.0,0.9991966983640009
229,1.752330576,0.34121422,1.226631403,2025-01-02 14:10:00,0.9992059567135649,1.0,0.9992059565513074
230,1.745705212,0.333723979,1.221993649,2025-01-02 14:20:00,0.9992144318936469,0.9999999999999997,0.99921443182513
231,1.739005278,0.326300364,1.217303695,2025-01-02 14:30:00,0.9992221541830012,0.9999999999999998,0.9992221540799654
232,1.732231444,0.318944119,1.212562011,2025-01-02 14:40:00,0.9992291503528757,0.9999999999999997,0.9992291502730014
233,1.725384387,0.31165598,1.207769071,2025-01-02 14:50:00,0.9992354442197806,1.0,0.9992354443581358
234,1.718464793,0.304436674,1.202925355,2025-01-02 15:00:00,0.9992410578454812,0.9999999999999998,0.9992410578183896
235,1.711473353,0.297286923,1.198031347,2025-01-02 15:10:00,0.9992460098283877,0.9999999999999998,0.999246009769602
236,1.704410766,0.290207444,1.193087536,2025-01-02 15:20:00,0.9992503164288812,1.0,0.9992503164853104
237,1.697277738,0.283198943,1.188094417,2025-01-02 15:30:00,0.9992539919607867,0.9999999999999999,0.9992539920664023
